Unnamed: 0,REGION,ZONE,SUB_ZONE,INSTALLATION_KEY,INST_TYPE_CODE,INSTALLATION_TYPE_DESC,METER_SIZE,BILL_ESTIMATE_ACTUAL,BILL_VALID_INVALID,MAIN_SERVICE,SHADOW_SERVICE,WATER_AMOUNT,SEWER_AMOUNT,BILL_AMOUNT,BILL_VOLUME,MONTH,YEAR,NEGATIVE,final_cluster,gmm_cluster,BILL_VALID_BINARY,High_Loss,Cluster
377059,8,11,52,IN-1135232,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,6.4694115212787535,7.398065151585085,1110399.0,8312.0,Sep,2024.0,False,2,1,0,1,2
385631,0,5,35,IN-1144184,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,8.730981376643477,9.974494633562141,1488583.0,11134.0,Sep,2024.0,False,2,1,0,1,2
433761,8,29,21,IN-1194452,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT, ,18.094627889650074,-0.15370753291925315,1824110.0,22817.0,Sep,2024.0,False,2,2,0,1,2
447904,1,12,17,IN-1209198,INDST,INDUSTRIAL,2.7153512441946357,ACTUAL,VALID,WAT,SEW,6.111994127278232,6.992527335154644,1050728.0,7865.0,Sep,2024.0,False,2,1,0,1,2
459531,8,11,32,IN-1221409,BLK-WSP,BULK WATER SERVICE PROVIDER,6.769369624291487,ACTUAL,VALID,WAT, ,10.195181566091007,-0.15370753291925315,1035552.0,32361.0,Sep,2024.0,False,2,2,0,1,2
469031,0,24,11,IN-001235148,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,8.123194495598613,9.288941000735123,1387353.0,10370.0,Sep,2024.0,False,2,1,0,1,2
469785,8,22,0,IN-001235989,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,20.74888705370676,23.663255272859754,3498104.0,26129.0,Sep,2024.0,False,1,1,0,1,2
471864,10,8,43,IN-001237852,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,7.831011611246102,8.950711102986995,1338176.0,10010.0,Sep,2024.0,False,2,1,0,1,2
472291,10,8,43,IN-001238291,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,12.243557190139853,13.975783059096235,2075944.0,15516.0,Sep,2024.0,False,2,1,0,1,2
493768,8,11,52,IN-001249452,GOV,GOVERNMENT,4.742360434243062,ACTUAL,VALID,WAT, ,20.430688502653407,-0.15370753291925315,2057306.0,25720.0,Sep,2024.0,False,2,2,0,1,2
495082,1,12,17,CV-7001409,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.64412821089346,7.59860285807603,1139704.0,8529.0,Oct,2024.0,False,2,1,0,1,2
495291,1,12,17,CV-7001624,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,13.813513018155264,15.76358414980209,2338432.0,17475.0,Oct,2024.0,False,2,1,0,1,2
504484,8,11,52,CV-7011213,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,11.640899312310557,13.28938427410093,1975176.0,14764.0,Oct,2024.0,False,2,1,0,1,2
505747,5,4,50,CV-7012412,BLK-WSP,BULK WATER SERVICE PROVIDER,14.877406384485191,ACTUAL,VALID,WAT, ,20.28938045703073,-0.15370753291925315,2043200.0,63850.0,Oct,2024.0,False,1,2,0,1,2
506670,4,28,60,CV-7013340,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT,SEW,8.536249553386767,9.75394372372618,1456096.0,10890.0,Oct,2024.0,False,2,1,0,1,2
509383,8,29,21,CV-7016147,COM,COMMERCIAL,14.877406384485191,ACTUAL,VALID,WAT, ,37.63532873421352,-0.15370753291925315,3774750.0,47200.0,Oct,2024.0,False,1,2,0,1,2
511799,8,11,52,CV-7018701,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,10.596666313890914,12.10035659158247,1800592.0,13461.0,Oct,2024.0,False,2,1,0,1,2
516622,8,22,48,CV-7023860,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,18.613939465226384,21.231651066440214,3141128.0,23465.0,Oct,2024.0,False,2,1,0,1,2
519498,8,29,21,CV-7026697,GOV,GOVERNMENT,6.769369624291487,ACTUAL,VALID,WAT, ,19.53155019676168,-0.15370753291925315,1967550.0,24610.0,Oct,2024.0,False,2,2,0,1,2
521703,8,22,0,CV-7029010,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,6.142447583870669,7.026603870579943,1055784.0,7903.0,Oct,2024.0,False,2,1,0,1,2
526744,9,26,34,CV-7034303,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,8.481403278767162,9.692737803698895,1447000.0,10820.0,Oct,2024.0,False,2,1,0,1,2
540011,8,11,52,CV-7048109,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.660506961396301,7.609099648006144,1141960.0,8556.0,Oct,2024.0,False,2,1,0,1,2
541868,8,29,21,CV-7050067,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT, ,12.791719408803733,-0.15370753291925315,1294750.0,16200.0,Oct,2024.0,False,2,2,0,1,2
547071,8,11,52,CV-7055639,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.639164143343013,6.453387863961524,971632.0,7275.0,Oct,2024.0,False,2,1,0,1,2
547535,0,24,3,CV-7055993,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.059902688370114,6.932893398160371,1042000.0,7800.0,Oct,2024.0,False,2,1,0,1,2
550256,8,29,21,CV-7058785,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT, ,26.948569690525154,-0.15370753291925315,2707950.0,33865.0,Oct,2024.0,False,1,2,0,1,2
551141,8,29,21,CV-7059825,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.601498025978682,6.4107921946799005,965352.0,7228.0,Oct,2024.0,False,2,1,0,1,2
557329,9,26,34,CV-7066364,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT, ,8.825557391014927,-0.15370753291925315,898830.0,11251.0,Oct,2024.0,False,2,2,0,1,2
567433,1,12,17,CV-7076901,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,7.159432752707605,8.185206075040103,1225848.0,9172.0,Oct,2024.0,False,2,1,0,1,2
587552,8,22,48,CV-7097795,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,8.805522222204113,10.06063254255387,1501120.0,11226.0,Oct,2024.0,False,2,1,0,1,2
590133,10,8,38,CV-7100474,GOV,GOVERNMENT,6.769369624291487,ACTUAL,VALID,WAT, ,11.50466016439702,-0.15370753291925315,1166270.0,14594.0,Oct,2024.0,False,2,2,0,1,2
601823,4,28,60,CV-7112797,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.607909279998142,6.418094309413893,966424.0,7236.0,Oct,2024.0,False,2,1,0,1,2
603127,0,24,11,CV-7114168,DOM,DOMESTIC,4.742360434243062,ACTUAL,VALID,WAT,SEW,6.22857877458836,7.127413621213119,1070346.0,8011.0,Oct,2024.0,False,2,1,0,1,2
603707,8,29,21,CV-7114767,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT, ,34.541898669823794,-0.15370753291925315,3465950.0,43340.0,Oct,2024.0,False,1,2,0,1,2
623420,8,11,52,CV-7135232,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,7.630659923137959,8.721911507988558,1304640.0,9760.0,Oct,2024.0,False,2,1,0,1,2
631977,0,5,35,CV-7144184,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,8.009725317038566,9.153953296416455,1368040.0,10233.0,Oct,2024.0,False,2,1,0,1,2
680100,8,29,21,CV-7194452,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT, ,19.63413026107305,-0.15370753291925315,1977790.0,24738.0,Oct,2024.0,False,2,2,0,1,2
690290,0,5,35,CV-7205195,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.493308114400284,6.287873263324358,947280.0,7093.0,Oct,2024.0,False,2,1,0,1,2
694222,1,12,17,CV-7209198,INDST,INDUSTRIAL,2.7153512441946357,ACTUAL,VALID,WAT,SEW,5.512541876458666,6.309779607526336,950496.0,7117.0,Oct,2024.0,False,2,1,0,1,2
705843,8,11,32,CV-7221409,BLK-WSP,BULK WATER SERVICE PROVIDER,6.769369624291487,ACTUAL,VALID,WAT, ,9.573289926203328,-0.15370753291925315,973472.0,30421.0,Oct,2024.0,False,2,2,0,1,2
715204,0,24,11,CV-001235148,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,10.963710606505032,12.517794150542379,1861928.0,13919.0,Oct,2024.0,False,2,1,0,1,2
715903,8,22,0,CV-001235989,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,19.35764493148381,22.07869637558336,3265480.0,24393.0,Oct,2024.0,False,2,1,0,1,2
717887,10,8,43,CV-001237852,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,8.271785325084018,9.45212298138782,1411840.0,10560.0,Oct,2024.0,False,2,1,0,1,2
718300,10,8,43,CV-001238291,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,11.111970855705058,12.686959808546542,1886736.0,14104.0,Oct,2024.0,False,2,1,0,1,2
739304,8,11,52,CV-001249453,GOV,GOVERNMENT,4.742360434243062,ACTUAL,VALID,WAT, ,33.493217863928145,-0.15370753291925315,3361266.0,42032.0,Oct,2024.0,False,1,2,0,1,2
743972,8,22,48,CV-7003994,GOV,GOVERNMENT,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.688806637341576,7.6414013638780425,1146696.0,8591.0,Nov,2024.0,False,2,1,0,1,2
750821,8,11,52,CV-7011213,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.205307926014599,7.096328924463553,1066184.0,7983.0,Nov,2024.0,False,2,1,0,1,2
752084,5,4,50,CV-7012412,BLK-WSP,BULK WATER SERVICE PROVIDER,14.877406384485191,ACTUAL,VALID,WAT, ,18.247396051832535,-0.15370753291925315,1839360.0,57480.0,Nov,2024.0,False,1,2,0,1,2
753006,4,28,60,CV-7013340,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT,SEW,18.224445765959747,20.786492516360518,3075911.0,22980.0,Nov,2024.0,False,2,1,0,1,2
755718,8,29,21,CV-7016147,COM,COMMERCIAL,14.877406384485191,ACTUAL,VALID,WAT, ,41.17673515562866,-0.15370753291925315,4128269.0,51620.0,Nov,2024.0,False,1,2,0,1,2
756087,3,1,44,CV-7016540,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT,SEW,7.132535538579087,8.152701522647815,1221240.0,9140.0,Nov,2024.0,False,2,1,0,1,2
756415,4,28,64,CV-7016980,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.525354366913182,6.323437266565841,952583.0,7134.0,Nov,2024.0,False,2,1,0,1,2
758132,8,11,52,CV-7018701,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,15.126567894094011,17.257221576814256,2557872.0,19115.0,Nov,2024.0,False,2,1,0,1,2
764171,10,13,62,CV-7024996,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,7.438322302554141,8.50284806596878,1272480.0,9520.0,Nov,2024.0,False,2,1,0,1,2
765826,8,29,21,CV-7026697,GOV,GOVERNMENT,6.769369624291487,ACTUAL,VALID,WAT, ,23.98371532197882,-0.15370753291925315,2411985.0,30167.0,Nov,2024.0,False,2,2,0,1,2
788195,8,29,21,CV-7050067,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT, ,15.555320506645437,-0.15370753291925315,1570625.0,19650.0,Nov,2024.0,False,2,2,0,1,2
793391,8,11,52,CV-7055639,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.637471171578499,6.448959266599704,971201.0,7275.0,Nov,2024.0,False,2,1,0,1,2
793855,0,24,3,CV-7055993,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,12.144533368292404,13.861738225507699,2059312.0,15394.0,Nov,2024.0,False,2,1,0,1,2
794262,1,12,17,CV-7056524,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,11.243391545519595,12.835706590164909,1908655.0,14269.0,Nov,2024.0,False,2,1,0,1,2
796575,8,29,21,CV-7058785,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT, ,27.174556377126734,-0.15370753291925315,2730509.0,34148.0,Nov,2024.0,False,1,2,0,1,2
